Адрес	Цена кв.метра в год, руб.	Координаты	Стоимость аренды 100кв.метров в месяц	lat	lng
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 34	73 846 руб. за м² в год	{'lat': 55.7244444, 'lng': 37.5775}	615383.3333333334	55.7244444	37.5775
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Комсомольский проспект, 15С2	74 656 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	622133.3333333334	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Остоженка, 30С1	76 596 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	638300.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Фрунзенская набережная, 36/2	14 793 руб. за м² в год	{'lat': 55.7226123, 'lng': 37.5863139}	123275.0	55.7226123	37.5863139
Москва, ЦАО, р-н Хамовники, м. Спортивная, улица Усачева, 29С13	от 110 088 ₽ за м² в год	{'lat': 55.723389, 'lng': 37.5642701}	917400.0	55.723389	37.5642701
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 28	31 453 руб. за м² в год	{'lat': 55.7264857, 'lng': 37.5790867}	262108.33333333334	55.7264857	37.5790867
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 28	31 453 руб. за м² в год	{'lat': 55.7264857, 'lng': 37.5790867}	262108.33333333334	55.7264857	37.5790867
Москва, ЦАО, р-н Хамовники, м. Кропоткинская, улица Волхонка, 9С1	93 873 руб. за м² в год	{'lat': 55.744263, 'lng': 37.6004452}	782275.0	55.744263	37.6004452
Москва, ЦАО, р-н Хамовники, м. Спортивная, Большая Пироговская улица, 37-43ка	49 690 руб. за м² в год	{'lat': 55.72898499999999, 'lng': 37.56486630000001}	414083.3333333333	55.72898499999999	37.56486630000001
Москва, ЦАО, р-н Хамовники, м. Спортивная, Большая Пироговская улица, 37-43ка	49 690 руб. за м² в год	{'lat': 55.72898499999999, 'lng': 37.56486630000001}	414083.3333333333	55.72898499999999	37.56486630000001
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Погодинская улица, 4	33 363 руб. за м² в год	{'lat': 55.72660399999999, 'lng': 37.580915}	278025.0	55.72660399999999	37.580915
Москва, ЦАО, р-н Хамовники, м. Спортивная, улица Усачева, 11Е	35 455 руб. за м² в год	{'lat': 55.723389, 'lng': 37.5642701}	295458.3333333333	55.723389	37.5642701
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Фрунзенская набережная, 36/2	20 690 руб. за м² в год	{'lat': 55.7226123, 'lng': 37.5863139}	172416.66666666666	55.7226123	37.5863139
