Адрес	Цена кв.метра в год, руб.	Координаты	Стоимость аренды 100кв.метров в месяц	lat	lng
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Пречистенская набережная, 5	51 516 руб. за м² в год	{'lat': 55.7365401, 'lng': 37.600789}	429300.0	55.7365401	37.600789
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Остоженка, 25	41 625 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	346875.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Остоженка, 27К1	48 649 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	405408.3333333333	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Пречистенка, 31/16	67 500 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	562500.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Фрунзенская набережная, 16к1	27 000 руб. за м² в год	{'lat': 55.7358252, 'lng': 37.5925325}	225000.0	55.7358252	37.5925325
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 15С1	98 232 руб. за м² в год	{'lat': 55.7355391, 'lng': 37.5924784}	818600.0	55.7355391	37.5924784
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 29	53 571 руб. за м² в год	{'lat': 55.7355391, 'lng': 37.5924784}	446425.0	55.7355391	37.5924784
Москва, ЦАО, р-н Хамовники, м. Спортивная, Комсомольский проспект, 40	48 000 руб. за м² в год	{'lat': 55.723389, 'lng': 37.5642701}	400000.0	55.723389	37.5642701
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Фрунзенская набережная, 46	от 23 729 ₽ за м² в год	{'lat': 55.7226123, 'lng': 37.5863139}	197741.66666666666	55.7226123	37.5863139
Москва, ЦАО, р-н Хамовники, м. Спортивная, Большая Пироговская улица, 37-43ка	22 721 руб. за м² в год	{'lat': 55.72898499999999, 'lng': 37.56486630000001}	189341.66666666666	55.72898499999999	37.56486630000001
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 15С2	36 000 руб. за м² в год	{'lat': 55.72660399999999, 'lng': 37.580915}	300000.0	55.72660399999999	37.580915
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 29	66 822 руб. за м² в год	{'lat': 55.7355391, 'lng': 37.5924784}	556850.0	55.7355391	37.5924784
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, улица Тимура Фрунзе, 11	72 000 руб. за м² в год	{'lat': 55.735519, 'lng': 37.594238}	600000.0	55.735519	37.594238
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, улица Ефремова, 10с1к4/2	от 42 000 ₽ за м² в год	{'lat': 55.72399, 'lng': 37.5733088}	350000.0	55.72399	37.5733088
Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Комсомольский проспект, 28	87 041 руб. за м² в год	{'lat': 55.7264857, 'lng': 37.5790867}	725341.6666666666	55.7264857	37.5790867
Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Зубовский бульвар, 17	91 671 руб. за м² в год	{'lat': 55.7355391, 'lng': 37.5924784}	763925.0	55.7355391	37.5924784
Москва, ЦАО, р-н Хамовники, м. Смоленская, Смоленская улица, 3	37 870 руб. за м² в год	{'lat': 55.74726099999999, 'lng': 37.581945}	315583.3333333333	55.74726099999999	37.581945
