Identif;MonthlyPeoples;DailyPeoples;HourlyPeoples_08_22;HourlyPeoples_08_10;HourlyPeoples_17_19;HourlyPeoples_22_08;DistrictName;WKT;HeatmapPoint;Author;lat1;lon1;lat2;lon2
673505;475063;15835;984;1504;1345;205;Хамовники;LINESTRING (37.594887 55.737314, 37.594901 55.737361);POINT (37.5949 55.7373);myData.biz;55.737314;37.594887;55.737361;37.594901
673506;11483;382;23;36;32;4;Хамовники;LINESTRING (37.594197 55.736741, 37.594334 55.736722);POINT (37.5943 55.7367);myData.biz;55.736741;37.594197;55.736722;37.594334
673507;33282;1109;68;105;94;14;Хамовники;LINESTRING (37.594334 55.736722, 37.594586 55.736685);POINT (37.5945 55.7367);myData.biz;55.736722;37.594334;55.736685;37.594586
673508;33282;1109;68;105;94;14;Хамовники;LINESTRING (37.594586 55.736685, 37.594605 55.736683);POINT (37.5946 55.7367);myData.biz;55.736685;37.594586;55.736683;37.594605
673509;125077;4169;259;396;354;54;Хамовники;LINESTRING (37.594861 55.737251, 37.594527 55.737359);POINT (37.5947 55.7373);myData.biz;55.737251;37.594861;55.737359;37.594527
673510;135824;4527;281;430;384;58;Хамовники;LINESTRING (37.594527 55.737359, 37.593992 55.737565);POINT (37.5943 55.7375);myData.biz;55.737359;37.594527;55.737565;37.593992
673511;135824;4527;281;430;384;58;Хамовники;LINESTRING (37.593992 55.737565, 37.593848 55.737626);POINT (37.5939 55.7376);myData.biz;55.737565;37.593992;55.737626;37.593848
673512;135824;4527;281;430;384;58;Хамовники;LINESTRING (37.593848 55.737626, 37.593478 55.737791);POINT (37.5937 55.7377);myData.biz;55.737626;37.593848;55.737791;37.593478
673513;111549;3718;231;353;316;48;Хамовники;LINESTRING (37.593478 55.737791, 37.592989 55.738011);POINT (37.5932 55.7379);myData.biz;55.737791;37.593478;55.738011;37.592989
673514;9541;318;19;30;27;4;Хамовники;LINESTRING (37.592286 55.744125, 37.592138 55.74414);POINT (37.5922 55.7441);myData.biz;55.744125;37.592286;55.74414;37.592138
673516;46116;1537;95;146;130;19;Хамовники;LINESTRING (37.595179 55.744411, 37.59518 55.744612);POINT (37.5952 55.7445);myData.biz;55.744411;37.595179;55.744612;37.59518
673517;1328;44;2;4;3;0;Хамовники;LINESTRING (37.595148 55.743901, 37.595103 55.743468);POINT (37.5951 55.7437);myData.biz;55.743901;37.595148;55.743468;37.595103
673518;29754;991;61;94;84;12;Хамовники;LINESTRING (37.595103 55.743468, 37.595081 55.743461);POINT (37.5951 55.7435);myData.biz;55.743468;37.595103;55.743461;37.595081
673519;3505;116;7;11;9;1;Хамовники;LINESTRING (37.589745 55.744423, 37.588625 55.744523);POINT (37.5892 55.7445);myData.biz;55.744423;37.589745;55.744523;37.588625
673520;2944;98;6;9;8;1;Хамовники;LINESTRING (37.589745 55.744423, 37.590427 55.744366);POINT (37.5901 55.7444);myData.biz;55.744423;37.589745;55.744366;37.590427
673521;4634;154;9;14;13;2;Хамовники;LINESTRING (37.59371 55.747384, 37.593832 55.747397);POINT (37.5938 55.7474);myData.biz;55.747384;37.59371;55.747397;37.593832
673522;5434;181;11;17;15;2;Хамовники;LINESTRING (37.59371 55.747384, 37.592871 55.74729);POINT (37.5933 55.7473);myData.biz;55.747384;37.59371;55.74729;37.592871
673525;17582;586;36;55;49;7;Хамовники;LINESTRING (37.577541 55.742419, 37.577281 55.742416);POINT (37.5774 55.7424);myData.biz;55.742419;37.577541;55.742416;37.577281
673526;99627;3320;206;315;282;43;Хамовники;LINESTRING (37.577686 55.74267, 37.577834 55.742657);POINT (37.5778 55.7427);myData.biz;55.74267;37.577686;55.742657;37.577834
673527;72985;2432;151;231;206;31;Хамовники;LINESTRING (37.577834 55.742657, 37.577957 55.742646);POINT (37.5779 55.7427);myData.biz;55.742657;37.577834;55.742646;37.577957
673528;73351;2445;151;232;207;31;Хамовники;LINESTRING (37.577957 55.742646, 37.577727 55.742142);POINT (37.5778 55.7424);myData.biz;55.742646;37.577957;55.742142;37.577727
673529;79148;2638;163;250;224;34;Хамовники;LINESTRING (37.577727 55.742142, 37.577613 55.741883);POINT (37.5777 55.742);myData.biz;55.742142;37.577727;55.741883;37.577613
673530;83414;2780;172;264;236;36;Хамовники;LINESTRING (37.577613 55.741883, 37.577386 55.74137);POINT (37.5775 55.7416);myData.biz;55.741883;37.577613;55.74137;37.577386
673531;247963;8265;513;785;702;107;Хамовники;LINESTRING (37.577386 55.74137, 37.577396 55.741345);POINT (37.5774 55.7414);myData.biz;55.74137;37.577386;55.741345;37.577396
673532;62790;2093;130;198;177;27;Хамовники;LINESTRING (37.577396 55.741345, 37.577369 55.741285);POINT (37.5774 55.7413);myData.biz;55.741345;37.577396;55.741285;37.577369
673533;104141;3471;215;329;295;45;Хамовники;LINESTRING (37.577082 55.740701, 37.57682 55.740048);POINT (37.577 55.7404);myData.biz;55.740701;37.577082;55.740048;37.57682
673534;5466;182;11;17;15;2;Хамовники;LINESTRING (37.577113 55.739925, 37.577627 55.739862);POINT (37.5774 55.7399);myData.biz;55.739925;37.577113;55.739862;37.577627
673535;5150;171;10;16;14;2;Хамовники;LINESTRING (37.575942 55.739842, 37.575811 55.739598);POINT (37.5759 55.7397);myData.biz;55.739842;37.575942;55.739598;37.575811
