Identif,MonthlyPeoples,DailyPeoples,HourlyPeoples_08_22,HourlyPeoples_08_10,HourlyPeoples_17_19,HourlyPeoples_22_08,DistrictName,WKT,HeatmapPoint,Author,lat1,lon1,lat2,lon2,CoordinateLan,CoordinateLng,P,RentCost,NormalizeRentCost,NormalizeTraffic,RelativeValue
5387,844,28,1,2,2,0,Хамовники,"LINESTRING (37.554455 55.712212, 37.554477 55.711899)",POINT (37.5545 55.7121),myData.biz,55.712212,37.554455,55.711899,37.554477,55.7121,37.5545,0.0,-1.0,1.0,0.0005020191778726721,0.0
5388,844,28,1,2,2,0,Хамовники,"LINESTRING (37.554477 55.711899, 37.555747 55.711655)",POINT (37.5551 55.7118),myData.biz,55.711899,37.554477,55.711655,37.555747,55.7118,37.5551,0.0,-1.0,1.0,0.0005020191778726721,0.0
5389,844,28,1,2,2,0,Хамовники,"LINESTRING (37.555747 55.711655, 37.555702 55.71156)",POINT (37.5557 55.7116),myData.biz,55.711655,37.555747,55.71156,37.555702,55.7116,37.5557,0.0,-1.0,1.0,0.0005020191778726721,0.0
5390,3219,107,6,10,9,1,Хамовники,"LINESTRING (37.555702 55.71156, 37.555827 55.711541)",POINT (37.5558 55.7116),myData.biz,55.71156,37.555702,55.711541,37.555827,55.7116,37.5558,0.0,-1.0,1.0,0.001966755722648589,0.0
5391,3219,107,6,10,9,1,Хамовники,"LINESTRING (37.555827 55.711541, 37.556933 55.711388)",POINT (37.5564 55.7115),myData.biz,55.711541,37.555827,55.711388,37.556933,55.7115,37.5564,0.0,-1.0,1.0,0.001966755722648589,0.0
5392,3219,107,6,10,9,1,Хамовники,"LINESTRING (37.556933 55.711388, 37.557086 55.711372)",POINT (37.557 55.7114),myData.biz,55.711388,37.556933,55.711372,37.557086,55.7114,37.557,0.0,-1.0,1.0,0.001966755722648589,0.0
5393,3219,107,6,10,9,1,Хамовники,"LINESTRING (37.557086 55.711372, 37.557186 55.711363)",POINT (37.5571 55.7114),myData.biz,55.711372,37.557086,55.711363,37.557186,55.7114,37.5571,0.0,-1.0,1.0,0.001966755722648589,0.0
5394,3219,107,6,10,9,1,Хамовники,"LINESTRING (37.557186 55.711363, 37.558202 55.71129)",POINT (37.5577 55.7113),myData.biz,55.711363,37.557186,55.71129,37.558202,55.7113,37.5577,0.0,-1.0,1.0,0.001966755722648589,0.0
5395,3219,107,6,10,9,1,Хамовники,"LINESTRING (37.558202 55.71129, 37.558336 55.711283)",POINT (37.5583 55.7113),myData.biz,55.71129,37.558202,55.711283,37.558336,55.7113,37.5583,0.0,-1.0,1.0,0.001966755722648589,0.0
5396,3219,107,6,10,9,1,Хамовники,"LINESTRING (37.558336 55.711283, 37.558452 55.711278)",POINT (37.5584 55.7113),myData.biz,55.711283,37.558336,55.711278,37.558452,55.7113,37.5584,0.0,-1.0,1.0,0.001966755722648589,0.0
5397,3219,107,6,10,9,1,Хамовники,"LINESTRING (37.558452 55.711278, 37.559055 55.711256)",POINT (37.5588 55.7113),myData.biz,55.711278,37.558452,55.711256,37.559055,55.7113,37.5588,0.0,-1.0,1.0,0.001966755722648589,0.0
5398,3219,107,6,10,9,1,Хамовники,"LINESTRING (37.559055 55.711256, 37.560119 55.711247)",POINT (37.5596 55.7113),myData.biz,55.711256,37.559055,55.711247,37.560119,55.7113,37.5596,0.0,-1.0,1.0,0.001966755722648589,0.0
